D:/USTH_Master/Insect-wing/cropped\egfr_F_R_oly_2X_1_cropped_LM_0.jpg,"[26.0, 17.0]"
D:/USTH_Master/Insect-wing/cropped\egfr_F_R_oly_2X_1_cropped_LM_1.jpg,"[28.0, 16.0]"
D:/USTH_Master/Insect-wing/cropped\egfr_F_R_oly_2X_1_cropped_LM_2.jpg,"[31.0, 15.0]"
D:/USTH_Master/Insect-wing/cropped\egfr_F_R_oly_2X_1_cropped_LM_3.jpg,"[27.0, 17.0]"
D:/USTH_Master/Insect-wing/cropped\egfr_F_R_oly_2X_1_cropped_LM_4.jpg,"[30.0, 22.0]"
D:/USTH_Master/Insect-wing/cropped\egfr_F_R_oly_2X_1_cropped_LM_5.jpg,"[25.0, 12.0]"
D:/USTH_Master/Insect-wing/cropped\egfr_F_R_oly_2X_1_cropped_LM_6.jpg,"[21.0, 21.0]"
D:/USTH_Master/Insect-wing/cropped\egfr_F_R_oly_2X_1_cropped_LM_7.jpg,"[21.0, 19.0]"
D:/USTH_Master/Insect-wing/cropped\egfr_F_R_oly_2X_1_cropped_LM_8.jpg,"[27.0, 15.0]"
D:/USTH_Master/Insect-wing/cropped\egfr_F_R_oly_2X_1_cropped_LM_9.jpg,"[26.0, 18.0]"
D:/USTH_Master/Insect-wing/cropped\egfr_F_R_oly_2X_1_cropped_LM_10.jpg,"[28.0, 21.0]"
D:/USTH_Master/Insect-wing/cropped\egfr_F_R_oly_2X_1_cropped_LM_11.jpg,"[16.0, 18.0]"
D:/USTH_Master/Insect-wing/cropped\egfr_F_R_oly_2X_1_cropped_LM_12.jpg,"[33.0, 18.0]"
D:/USTH_Master/Insect-wing/cropped\egfr_F_R_oly_2X_1_cropped_LM_13.jpg,"[31.0, 14.0]"
D:/USTH_Master/Insect-wing/cropped\egfr_F_R_oly_2X_1_cropped_LM_14.jpg,"[26.0, 16.0]"
D:/USTH_Master/Insect-wing/cropped\egfr_F_R_oly_2X_1_cropped_LM_0.jpg,"[26.0, 17.0]"
D:/USTH_Master/Insect-wing/cropped\egfr_F_R_oly_2X_1_cropped_LM_1.jpg,"[28.0, 16.0]"
D:/USTH_Master/Insect-wing/cropped\egfr_F_R_oly_2X_1_cropped_LM_2.jpg,"[31.0, 15.0]"
D:/USTH_Master/Insect-wing/cropped\egfr_F_R_oly_2X_1_cropped_LM_3.jpg,"[27.0, 17.0]"
D:/USTH_Master/Insect-wing/cropped\egfr_F_R_oly_2X_1_cropped_LM_4.jpg,"[30.0, 22.0]"
D:/USTH_Master/Insect-wing/cropped\egfr_F_R_oly_2X_1_cropped_LM_5.jpg,"[25.0, 12.0]"
D:/USTH_Master/Insect-wing/cropped\egfr_F_R_oly_2X_1_cropped_LM_6.jpg,"[21.0, 21.0]"
D:/USTH_Master/Insect-wing/cropped\egfr_F_R_oly_2X_1_cropped_LM_7.jpg,"[21.0, 19.0]"
D:/USTH_Master/Insect-wing/cropped\egfr_F_R_oly_2X_1_cropped_LM_8.jpg,"[27.0, 15.0]"
D:/USTH_Master/Insect-wing/cropped\egfr_F_R_oly_2X_1_cropped_LM_9.jpg,"[26.0, 18.0]"
D:/USTH_Master/Insect-wing/cropped\egfr_F_R_oly_2X_1_cropped_LM_10.jpg,"[28.0, 21.0]"
D:/USTH_Master/Insect-wing/cropped\egfr_F_R_oly_2X_1_cropped_LM_11.jpg,"[16.0, 18.0]"
D:/USTH_Master/Insect-wing/cropped\egfr_F_R_oly_2X_1_cropped_LM_12.jpg,"[33.0, 18.0]"
D:/USTH_Master/Insect-wing/cropped\egfr_F_R_oly_2X_1_cropped_LM_13.jpg,"[31.0, 14.0]"
D:/USTH_Master/Insect-wing/cropped\egfr_F_R_oly_2X_1_cropped_LM_14.jpg,"[26.0, 16.0]"
D:/USTH_Master/Insect-wing/cropped\egfr_F_R_oly_2X_100_cropped_LM_0.jpg,"[35.0, 25.0]"
D:/USTH_Master/Insect-wing/cropped\egfr_F_R_oly_2X_100_cropped_LM_1.jpg,"[34.0, 22.0]"
D:/USTH_Master/Insect-wing/cropped\egfr_F_R_oly_2X_100_cropped_LM_2.jpg,"[32.0, 22.0]"
D:/USTH_Master/Insect-wing/cropped\egfr_F_R_oly_2X_100_cropped_LM_3.jpg,"[31.0, 26.0]"
D:/USTH_Master/Insect-wing/cropped\egfr_F_R_oly_2X_100_cropped_LM_4.jpg,"[35.0, 25.0]"
D:/USTH_Master/Insect-wing/cropped\egfr_F_R_oly_2X_100_cropped_LM_5.jpg,"[28.0, 22.0]"
D:/USTH_Master/Insect-wing/cropped\egfr_F_R_oly_2X_100_cropped_LM_6.jpg,"[31.0, 20.0]"
D:/USTH_Master/Insect-wing/cropped\egfr_F_R_oly_2X_100_cropped_LM_7.jpg,"[30.0, 22.0]"
D:/USTH_Master/Insect-wing/cropped\egfr_F_R_oly_2X_100_cropped_LM_8.jpg,"[37.0, 23.0]"
D:/USTH_Master/Insect-wing/cropped\egfr_F_R_oly_2X_100_cropped_LM_9.jpg,"[33.0, 26.0]"
D:/USTH_Master/Insect-wing/cropped\egfr_F_R_oly_2X_100_cropped_LM_10.jpg,"[29.0, 26.0]"
D:/USTH_Master/Insect-wing/cropped\egfr_F_R_oly_2X_100_cropped_LM_11.jpg,"[34.0, 26.0]"
D:/USTH_Master/Insect-wing/cropped\egfr_F_R_oly_2X_100_cropped_LM_12.jpg,"[27.0, 27.0]"
D:/USTH_Master/Insect-wing/cropped\egfr_F_R_oly_2X_100_cropped_LM_13.jpg,"[37.0, 20.0]"
D:/USTH_Master/Insect-wing/cropped\egfr_F_R_oly_2X_100_cropped_LM_14.jpg,"[38.0, 24.0]"
D:/USTH_Master/Insect-wing/cropped\egfr_F_R_oly_2X_100_cropped_LM_0.jpg,"[35.0, 25.0]"
D:/USTH_Master/Insect-wing/cropped\egfr_F_R_oly_2X_100_cropped_LM_1.jpg,"[34.0, 22.0]"
D:/USTH_Master/Insect-wing/cropped\egfr_F_R_oly_2X_100_cropped_LM_2.jpg,"[32.0, 22.0]"
D:/USTH_Master/Insect-wing/cropped\egfr_F_R_oly_2X_100_cropped_LM_3.jpg,"[31.0, 26.0]"
D:/USTH_Master/Insect-wing/cropped\egfr_F_R_oly_2X_100_cropped_LM_4.jpg,"[35.0, 25.0]"
D:/USTH_Master/Insect-wing/cropped\egfr_F_R_oly_2X_100_cropped_LM_5.jpg,"[28.0, 22.0]"
D:/USTH_Master/Insect-wing/cropped\egfr_F_R_oly_2X_100_cropped_LM_6.jpg,"[31.0, 20.0]"
D:/USTH_Master/Insect-wing/cropped\egfr_F_R_oly_2X_100_cropped_LM_7.jpg,"[30.0, 22.0]"
D:/USTH_Master/Insect-wing/cropped\egfr_F_R_oly_2X_100_cropped_LM_8.jpg,"[37.0, 23.0]"
D:/USTH_Master/Insect-wing/cropped\egfr_F_R_oly_2X_100_cropped_LM_9.jpg,"[33.0, 26.0]"
D:/USTH_Master/Insect-wing/cropped\egfr_F_R_oly_2X_100_cropped_LM_10.jpg,"[29.0, 26.0]"
D:/USTH_Master/Insect-wing/cropped\egfr_F_R_oly_2X_100_cropped_LM_11.jpg,"[34.0, 26.0]"
D:/USTH_Master/Insect-wing/cropped\egfr_F_R_oly_2X_100_cropped_LM_12.jpg,"[27.0, 27.0]"
D:/USTH_Master/Insect-wing/cropped\egfr_F_R_oly_2X_100_cropped_LM_13.jpg,"[37.0, 20.0]"
