TRAINING,/home/namhv/M2_internship/object_detection/images/train/egfr_F_R_oly_2X_1.jpg,0,0.438970588,0.333984375,,,0.461029412,0.36328125
TRAINING,/home/namhv/M2_internship/object_detection/images/train/egfr_F_R_oly_2X_1.jpg,1,0.4625,0.405273438,,,0.484558824,0.434570313
TRAINING,/home/namhv/M2_internship/object_detection/images/train/egfr_F_R_oly_2X_1.jpg,2,0.409558824,0.376953125,,,0.431617647,0.40625
TRAINING,/home/namhv/M2_internship/object_detection/images/train/egfr_F_R_oly_2X_1.jpg,3,0.363970588,0.356445313,,,0.386029412,0.385742188
TRAINING,/home/namhv/M2_internship/object_detection/images/train/egfr_F_R_oly_2X_1.jpg,4,0.366176471,0.42578125,,,0.388235294,0.455078125
TRAINING,/home/namhv/M2_internship/object_detection/images/train/egfr_F_R_oly_2X_1.jpg,5,0.344852941,0.375,,,0.366911765,0.404296875
TRAINING,/home/namhv/M2_internship/object_detection/images/train/egfr_F_R_oly_2X_1.jpg,6,0.531617647,0.471679688,,,0.553676471,0.500976563
TRAINING,/home/namhv/M2_internship/object_detection/images/train/egfr_F_R_oly_2X_1.jpg,7,0.378676471,0.415039063,,,0.400735294,0.444335938
TRAINING,/home/namhv/M2_internship/object_detection/images/train/egfr_F_R_oly_2X_1.jpg,8,0.707352941,0.379882813,,,0.729411765,0.409179688
TRAINING,/home/namhv/M2_internship/object_detection/images/train/egfr_F_R_oly_2X_1.jpg,9,0.557352941,0.61328125,,,0.579411765,0.642578125
TRAINING,/home/namhv/M2_internship/object_detection/images/train/egfr_F_R_oly_2X_1.jpg,10,0.358088235,0.317382813,,,0.380147059,0.346679688
TRAINING,/home/namhv/M2_internship/object_detection/images/train/egfr_F_R_oly_2X_1.jpg,11,0.457352941,0.420898438,,,0.479411765,0.450195313
TRAINING,/home/namhv/M2_internship/object_detection/images/train/egfr_F_R_oly_2X_1.jpg,12,0.511029412,0.516601563,,,0.533088235,0.545898438
TRAINING,/home/namhv/M2_internship/object_detection/images/train/egfr_F_R_oly_2X_100.jpg,0,0.433088235,0.334960938,,,0.455147059,0.364257813
TRAINING,/home/namhv/M2_internship/object_detection/images/train/egfr_F_R_oly_2X_100.jpg,1,0.440441176,0.413085938,,,0.4625,0.442382813
TRAINING,/home/namhv/M2_internship/object_detection/images/train/egfr_F_R_oly_2X_100.jpg,2,0.391176471,0.354492188,,,0.413235294,0.383789063
TRAINING,/home/namhv/M2_internship/object_detection/images/train/egfr_F_R_oly_2X_100.jpg,3,0.358823529,0.322265625,,,0.380882353,0.3515625
TRAINING,/home/namhv/M2_internship/object_detection/images/train/egfr_F_R_oly_2X_100.jpg,4,0.344852941,0.390625,,,0.366911765,0.419921875
TRAINING,/home/namhv/M2_internship/object_detection/images/train/egfr_F_R_oly_2X_100.jpg,5,0.332352941,0.330078125,,,0.354411765,0.359375
TRAINING,/home/namhv/M2_internship/object_detection/images/train/egfr_F_R_oly_2X_100.jpg,6,0.708823529,0.625,,,0.730882353,0.654296875
TRAINING,/home/namhv/M2_internship/object_detection/images/train/egfr_F_R_oly_2X_100.jpg,7,0.676470588,0.668945313,,,0.698529412,0.698242188
TRAINING,/home/namhv/M2_internship/object_detection/images/train/egfr_F_R_oly_2X_100.jpg,8,0.491176471,0.506835938,,,0.513235294,0.536132813
TRAINING,/home/namhv/M2_internship/object_detection/images/train/egfr_F_R_oly_2X_100.jpg,9,0.359558824,0.383789063,,,0.381617647,0.413085938
TRAINING,/home/namhv/M2_internship/object_detection/images/train/egfr_F_R_oly_2X_100.jpg,10,0.675,0.494140625,,,0.697058824,0.5234375
TRAINING,/home/namhv/M2_internship/object_detection/images/train/egfr_F_R_oly_2X_100.jpg,11,0.486029412,0.651367188,,,0.508088235,0.680664063
TRAINING,/home/namhv/M2_internship/object_detection/images/train/egfr_F_R_oly_2X_100.jpg,12,0.366911765,0.288085938,,,0.388970588,0.317382813
TRAINING,/home/namhv/M2_internship/object_detection/images/train/egfr_F_R_oly_2X_100.jpg,13,0.429411765,0.423828125,,,0.451470588,0.453125
