,,
TRAINING,egfr_F_R_oly_2X_1.jpg,"[612.0, 357.0, 644.0, 430.0, 572.0, 401.0, 510.0, 380.0, 513.0, 451.0, 484.0, 399.0, 1071.0, 524.0, 1035.0, 581.0, 738.0, 498.0, 530.0, 440.0, 977.0, 404.0, 773.0, 643.0, 502.0, 340.0, 637.0, 446.0, 710.0, 544.0]"
TRAINING,egfr_F_R_oly_2X_100.jpg,"[604.0, 358.0, 614.0, 438.0, 547.0, 378.0, 503.0, 345.0, 484.0, 415.0, 467.0, 353.0, 979.0, 655.0, 935.0, 700.0, 683.0, 534.0, 504.0, 408.0, 933.0, 521.0, 676.0, 682.0, 514.0, 310.0, 599.0, 449.0, 642.0, 571.0]"
TRAINING,egfr_F_R_oly_2X_101.jpg,"[528.0, 331.0, 561.0, 405.0, 480.0, 367.0, 432.0, 342.0, 422.0, 414.0, 397.0, 361.0, 980.0, 547.0, 942.0, 604.0, 649.0, 489.0, 438.0, 402.0, 900.0, 419.0, 669.0, 634.0, 433.0, 308.0, 552.0, 425.0, 615.0, 530.0]"
TRAINING,egfr_F_R_oly_2X_103.jpg,"[528.0, 335.0, 561.0, 413.0, 478.0, 371.0, 429.0, 347.0, 418.0, 421.0, 397.0, 360.0, 980.0, 585.0, 940.0, 637.0, 649.0, 504.0, 438.0, 409.0, 909.0, 446.0, 665.0, 653.0, 434.0, 309.0, 547.0, 433.0, 612.0, 546.0]"
TRAINING,egfr_F_R_oly_2X_104.jpg,"[556.0, 341.0, 585.0, 415.0, 509.0, 371.0, 464.0, 347.0, 454.0, 418.0, 434.0, 364.0, 976.0, 561.0, 934.0, 610.0, 661.0, 490.0, 476.0, 407.0, 910.0, 430.0, 667.0, 628.0, 469.0, 316.0, 576.0, 430.0, 625.0, 528.0]"
TRAINING,egfr_F_R_oly_2X_107.jpg,"[515.0, 359.0, 554.0, 435.0, 470.0, 404.0, 412.0, 379.0, 414.0, 457.0, 385.0, 404.0, 996.0, 544.0, 964.0, 596.0, 654.0, 513.0, 433.0, 442.0, 913.0, 417.0, 692.0, 657.0, 420.0, 346.0, 546.0, 453.0, 623.0, 557.0]"
TRAINING,egfr_F_R_oly_2X_108.jpg,"[533.0, 376.0, 577.0, 434.0, 497.0, 422.0, 454.0, 410.0, 462.0, 477.0, 427.0, 436.0, 988.0, 443.0, 969.0, 503.0, 676.0, 479.0, 477.0, 460.0, 883.0, 347.0, 743.0, 602.0, 443.0, 379.0, 578.0, 451.0, 661.0, 524.0]"
TRAINING,egfr_F_R_oly_2X_109.jpg,"[541.0, 361.0, 580.0, 435.0, 487.0, 409.0, 439.0, 394.0, 438.0, 469.0, 403.0, 419.0, 1041.0, 514.0, 1014.0, 574.0, 691.0, 503.0, 457.0, 452.0, 939.0, 390.0, 743.0, 647.0, 433.0, 356.0, 578.0, 453.0, 668.0, 557.0]"
TRAINING,egfr_F_R_oly_2X_11.jpg,"[597.0, 346.0, 636.0, 411.0, 556.0, 388.0, 505.0, 374.0, 514.0, 443.0, 483.0, 394.0, 1053.0, 474.0, 1021.0, 530.0, 734.0, 470.0, 528.0, 429.0, 956.0, 365.0, 782.0, 601.0, 501.0, 341.0, 631.0, 429.0, 710.0, 513.0]"
TRAINING,egfr_F_R_oly_2X_110.jpg,"[559.0, 373.0, 592.0, 436.0, 510.0, 413.0, 470.0, 400.0, 472.0, 463.0, 446.0, 414.0, 983.0, 510.0, 950.0, 563.0, 677.0, 497.0, 490.0, 447.0, 890.0, 400.0, 721.0, 621.0, 464.0, 367.0, 589.0, 454.0, 656.0, 537.0]"
TRAINING,egfr_F_R_oly_2X_111.jpg,"[545.0, 366.0, 569.0, 447.0, 490.0, 400.0, 442.0, 368.0, 427.0, 441.0, 411.0, 378.0, 951.0, 635.0, 909.0, 682.0, 639.0, 539.0, 450.0, 430.0, 891.0, 499.0, 641.0, 680.0, 441.0, 330.0, 554.0, 465.0, 604.0, 578.0]"
TRAINING,egfr_F_R_oly_2X_112.jpg,"[533.0, 362.0, 571.0, 439.0, 491.0, 406.0, 435.0, 384.0, 435.0, 454.0, 404.0, 400.0, 978.0, 560.0, 945.0, 614.0, 656.0, 512.0, 451.0, 441.0, 901.0, 436.0, 685.0, 654.0, 432.0, 348.0, 559.0, 455.0, 628.0, 556.0]"
TRAINING,egfr_F_R_oly_2X_113.jpg,"[546.0, 363.0, 577.0, 440.0, 493.0, 409.0, 440.0, 388.0, 441.0, 459.0, 418.0, 407.0, 986.0, 541.0, 952.0, 594.0, 654.0, 505.0, 458.0, 441.0, 898.0, 418.0, 693.0, 645.0, 440.0, 355.0, 567.0, 459.0, 628.0, 546.0]"
TRAINING,egfr_F_R_oly_2X_114.jpg,"[559.0, 355.0, 588.0, 428.0, 524.0, 395.0, 468.0, 369.0, 461.0, 437.0, 436.0, 384.0, 970.0, 574.0, 929.0, 621.0, 664.0, 503.0, 478.0, 422.0, 900.0, 443.0, 683.0, 636.0, 464.0, 332.0, 577.0, 444.0, 635.0, 542.0]"
TRAINING,egfr_F_R_oly_2X_115.jpg,"[566.0, 322.0, 587.0, 406.0, 511.0, 359.0, 455.0, 327.0, 445.0, 406.0, 422.0, 343.0, 994.0, 579.0, 950.0, 632.0, 669.0, 497.0, 466.0, 392.0, 928.0, 441.0, 675.0, 645.0, 454.0, 291.0, 574.0, 421.0, 627.0, 534.0]"
